"filename", "language", "Python", "Markdown", "CSS", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"d:\PicHub\PicHub\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\PicHub\PicHub\asgi.py", "Python", -10, 0, 0, 0, 0, 0, 0, -7, -17
"d:\PicHub\PicHub\settings.py", "Python", -80, 0, 0, 0, 0, 0, -21, -40, -141
"d:\PicHub\PicHub\urls.py", "Python", -24, 0, 0, 0, 0, 0, -1, -3, -28
"d:\PicHub\PicHub\wsgi.py", "Python", -10, 0, 0, 0, 0, 0, 0, -7, -17
"d:\PicHub\README.md", "Markdown", 0, -2, 0, 0, 0, 0, 0, -1, -3
"d:\PicHub\commits.md", "Markdown", 0, -257, 0, 0, 0, 0, 0, -28, -285
"d:\PicHub\manage.py", "Python", -17, 0, 0, 0, 0, 0, -1, -5, -23
"d:\PicHub\mysite\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\PicHub\mysite\admin.py", "Python", -27, 0, 0, 0, 0, 0, 0, -13, -40
"d:\PicHub\mysite\apps.py", "Python", -4, 0, 0, 0, 0, 0, 0, -3, -7
"d:\PicHub\mysite\forms.py", "Python", -181, 0, 0, 0, 0, 0, -4, -51, -236
"d:\PicHub\mysite\models.py", "Python", -98, 0, 0, 0, 0, 0, -12, -28, -138
"d:\PicHub\mysite\notifications.py", "Python", -6, 0, 0, 0, 0, 0, 0, -2, -8
"d:\PicHub\mysite\settings.py", "Python", -2, 0, 0, 0, 0, 0, -3, -2, -7
"d:\PicHub\mysite\static\css\addachievements.css", "CSS", 0, 0, -41, 0, 0, 0, -1, 0, -42
"d:\PicHub\mysite\static\css\create_project.css", "CSS", 0, 0, -190, 0, 0, 0, -22, -19, -231
"d:\PicHub\mysite\static\css\edit_profile.css", "CSS", 0, 0, -111, 0, 0, 0, -47, -5, -163
"d:\PicHub\mysite\static\css\followers.css", "CSS", 0, 0, -123, 0, 0, 0, -7, -5, -135
"d:\PicHub\mysite\static\css\index.css", "CSS", 0, 0, -439, 0, 0, 0, -4, -46, -489
"d:\PicHub\mysite\static\css\like_project.css", "CSS", 0, 0, -135, 0, 0, 0, -3, -7, -145
"d:\PicHub\mysite\static\css\main.css", "CSS", 0, 0, -167, 0, 0, 0, -14, -30, -211
"d:\PicHub\mysite\static\css\profile.css", "CSS", 0, 0, -289, 0, 0, 0, 0, -18, -307
"d:\PicHub\mysite\static\css\project\header_project.css", "CSS", 0, 0, -89, 0, 0, 0, -3, -18, -110
"d:\PicHub\mysite\static\css\project\project.css", "CSS", 0, 0, -261, 0, 0, 0, -14, -49, -324
"d:\PicHub\mysite\static\css\project\project_files.css", "CSS", 0, 0, -199, 0, 0, 0, -3, -9, -211
"d:\PicHub\mysite\static\css\project\project_settings.css", "CSS", 0, 0, -57, 0, 0, 0, -1, -9, -67
